Slug,Nome do Produto,Descrição Bruta,URL da Imagem,Descrição Limpa
colecao-bts-pingente-logo-modelo-1,Coleção BTS &#8211; Pingente Logo Modelo 1,"<ul>
<li>Prata 925</li>
<li>Tamanho 15mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-15-at-11.33.02.jpeg,Prata 925 Tamanho 15mm
pulseira-personalizada-dupla-coracao,Pulseira Personalizada Dupla &#8211; Coração,"<ul>
<li>Prata 925</li>
<li>Corrente Elos &#8211; 16cm e 20cm (caso queira trocar o tamanho da pulseira, informar na observação ou ao suporte)</li>
<li>Plaquinha &#8211; 26mm x 6mm</li>
</ul>
<p>&nbsp;</p>
",https://useupvix.com.br/wp-content/uploads/2024/08/WhatsApp-Image-2026-05-13-at-23.06.00-2.jpeg,"Prata 925 Corrente Elos &#8211; 16cm e 20cm (caso queira trocar o tamanho da pulseira, informar na observação ou ao suporte) Plaquinha &#8211; 26mm x 6mm &nbsp;"
pulseira-mini-coracao-iniciais,Pulseira Mini Coração + Iniciais,"<ul>
<li>Prata 925</li>
<li>Corrente de Elos, Tamanho 16.</li>
<li>Coraçãozinho &#8211; 13mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.06.00-1.jpeg,"Prata 925 Corrente de Elos, Tamanho 16. Coraçãozinho &#8211; 13mm"
kit-pulseira-digital-nome,Kit Pulseira Digital + Nome,"<ul>
<li>Prata 925</li>
<li><em>Digital padrão, se quiser colocar a sua precisa entrar em contato com o suporte</em></li>
<li>Corrente de elos , tamanho: 16 e 20 (se quiser mudar o tamanho, avisa na observação, caso contrário usaremos a padrão 16 para feminino e 20 para masculino).</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.05.59.jpeg,"Prata 925 Digital padrão, se quiser colocar a sua precisa entrar em contato com o suporte Corrente de elos , tamanho: 16 e 20 (se quiser mudar o tamanho, avisa na observação, caso contrário usaremos a padrão 16 para feminino e 20 para masculino)."
pulseira-medalhinha-pendurada,Pulseira medalhinha pendurada,"<ul>
<li>Prata 925</li>
<li>medalha &#8211; 14mm</li>
<li>Corrente de elos &#8211; 16cm</li>
<li>Valor referente a 1 unidade</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.05.59-1.jpeg,Prata 925 medalha &#8211; 14mm Corrente de elos &#8211; 16cm Valor referente a 1 unidade
kit-pingente-coracao-chave,Kit Pingente Coração + Chave,"<ul>
<li>Prata 925</li>
<li>Tamanho do coração: 16mm</li>
<li>Tamanho do coração: 14mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.06.01-2.jpeg,Prata 925 Tamanho do coração: 16mm Tamanho do coração: 14mm
kit-pingentes-coracao-peca-quebra-cabecas,Kit Pingentes Coração + Peça Quebra Cabeças,"<ul>
<li>Prata 925</li>
<li>Tamanho do coração: 18mm</li>
<li>Tamanho do coração: 14mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.06.01-3.jpeg,Prata 925 Tamanho do coração: 18mm Tamanho do coração: 14mm
kit-pulseira-casal-viagem,Kit Pulseira Casal Viagem,"<ul>
<li>Prata 925</li>
<li>Corrente de elos, escrever na observação qual tamanho deseja &#8211; Tamanho Máximo 22cm.</li>
<li>Caso não coloque a observação, enviaremos a padrão &#8211; 16 e 18.</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.06.01-1.jpeg,"Prata 925 Corrente de elos, escrever na observação qual tamanho deseja &#8211; Tamanho Máximo 22cm. Caso não coloque a observação, enviaremos a padrão &#8211; 16 e 18."
kit-pulseira-inicial-data,Kit Pulseira Inicial + Data,"<ul>
<li>Prata 925</li>
<li>Corrente de elos, escrever na observação qual tamanho deseja &#8211; Tamanho Máximo 22cm.</li>
<li>Caso não coloque a observação, enviaremos a padrão &#8211; 16 e 18.</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.06.02.jpeg,"Prata 925 Corrente de elos, escrever na observação qual tamanho deseja &#8211; Tamanho Máximo 22cm. Caso não coloque a observação, enviaremos a padrão &#8211; 16 e 18."
colar-3-coracoes,Colar 3 Corações,"<ul>
<li>Prata 925</li>
<li>Corrente Veneziana 60cm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.06.02-1.jpeg,Prata 925 Corrente Veneziana 60cm
berloque-medalha-com-nome,Berloque medalha com nome,"<ul>
<li>Prata 925</li>
<li>Medalha 13mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-17-at-15.48.29.jpeg,Prata 925 Medalha 13mm
pulseiras-meninas-super-poderosas,Pulseiras Meninas Super Poderosas,"<ul>
<li>Conjunto com 3 pulseiras</li>
<li>Prata 925</li>
<li>Ponto de luz em formato de coração 6mm</li>
<li>Corrente de elo &#8211; 16cm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-17-at-15.41.39.jpeg,Conjunto com 3 pulseiras Prata 925 Ponto de luz em formato de coração 6mm Corrente de elo &#8211; 16cm
pulseira-mae-e-filha,Pulseira mãe e filha,"<ul>
<li>Prata 925</li>
<li>Pulseira coração preenchido 13mm, tamanho da corrente: 14cm</li>
<li>Pulseira coração vazado &#8211; 15mm, tamanho da corrente: 16cm</li>
<li>Corrente de elos</li>
</ul>
<p><em>Obs: caso queira alterar o tamanho das correntes, por favor avisar ao suporte ou colocar na observação.<br />
</em>Tamanho máximo &#8211; 18mm.</p>
<p>&nbsp;</p>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-17-at-15.19.01012536.jpeg,"Prata 925 Pulseira coração preenchido 13mm, tamanho da corrente: 14cm Pulseira coração vazado &#8211; 15mm, tamanho da corrente: 16cm Corrente de elos Obs: caso queira alterar o tamanho das correntes, por favor avisar ao suporte ou colocar na observação. Tamanho máximo &#8211; 18mm. &nbsp;"
pingente-coracao-inicial-pendurada,Pingente Coração + Inicial Pendurada,"<p>Pingente Coração + Inicial Pendurada</p>
<ul>
<li>Prata 925</li>
<li>Pingente coração 15mm</li>
<li>Pingente inicial 13mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-03-at-00.33.02.jpeg,Pingente Coração + Inicial Pendurada Prata 925 Pingente coração 15mm Pingente inicial 13mm
colar-nome-vertical,Colar Nome Vertical,"<p>Colar Nome Vertical</p>
<ul>
<li>Prata 925</li>
<li>Corrente 45cm</li>
<li><em>MÁXIMO 9 LETRAS, acima disso falar com o suporte.</em></li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-03-at-00.32.47.jpeg,"Colar Nome Vertical Prata 925 Corrente 45cm MÁXIMO 9 LETRAS, acima disso falar com o suporte."
colar-infinito,Colar Infinito,"<p>Colar Infinito</p>
<ul>
<li>Prata 925</li>
<li>Corrente 45cm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-03-at-00.32.31.jpeg,Colar Infinito Prata 925 Corrente 45cm
colar-canga-modelo-3-3-filhos,Colar Canga Modelo 3 &#8211; 3 Filhos,"<p>Colar Canga Modelo 3 &#8211; 3 Filhos</p>
<ul>
<li>Prata 925</li>
<li>Corrente 45cm</li>
<li>Pingentes 13mm</li>
<li><em>Modelo com 3 crianças, caso queira alterar, entrar em contato com o suporte</em></li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-02-at-11.16.51.jpeg,"Colar Canga Modelo 3 &#8211; 3 Filhos Prata 925 Corrente 45cm Pingentes 13mm Modelo com 3 crianças, caso queira alterar, entrar em contato com o suporte"
pingente-filhos-modelo-2,Pingente Filhos &#8211; Modelo 2,"<p>Pingente Filhos &#8211; Modelo 2</p>
<ul>
<li>Prata 925</li>
<li>Pingente 13mm</li>
<li><em>O produto é apenas sobre o pingente de criança, caso queira o coração que está na foto entrar em contato com o suporte.</em></li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-02-at-11.17.05.jpeg,"Pingente Filhos &#8211; Modelo 2 Prata 925 Pingente 13mm O produto é apenas sobre o pingente de criança, caso queira o coração que está na foto entrar em contato com o suporte."
colar-canga-modelo-2-4-filhos,Colar Canga Modelo 2 &#8211; 4 filhos,"<p>Colar Canga Modelo 2 &#8211; 4 filhos</p>
<ul>
<li>Prata 925</li>
<li>Corrente 45cm</li>
<li>Pingentes 13mm</li>
<li>Crianças Vazadas</li>
<li><em>Modelo na foto com 4 filhos, caso queira com uma quantidade diferente, entrar em contato com o suporte.</em></li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-02-at-11.16.43.jpeg,"Colar Canga Modelo 2 &#8211; 4 filhos Prata 925 Corrente 45cm Pingentes 13mm Crianças Vazadas Modelo na foto com 4 filhos, caso queira com uma quantidade diferente, entrar em contato com o suporte."
colar-canga-modelo-1-3-filhos,Colar Canga Modelo 1 &#8211; 3 Filhos,"<p>Colar Canga Modelo 1 &#8211; 3 Filhos</p>
<ul>
<li>Prata 925</li>
<li>Tamanho dos pingentes &#8211; 13mm</li>
<li>Corrente 45cm</li>
<li><em>Produto com 3 filhos, mas se quiser alterar a quantidade falar com o suporte</em></li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-02-at-11.16.53.jpeg,"Colar Canga Modelo 1 &#8211; 3 Filhos Prata 925 Tamanho dos pingentes &#8211; 13mm Corrente 45cm Produto com 3 filhos, mas se quiser alterar a quantidade falar com o suporte"
pingente-nome-asinha,Pingente Nome + Asinha,"<p>Pingente Nome + Asinha</p>
<ul>
<li>Prata 925</li>
<li>Medalha 16mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-02-at-11.17.02.jpeg,Pingente Nome + Asinha Prata 925 Medalha 16mm
pingente-cascata-de-coracoes,Pingente cascata de corações,"<p>Pingente cascata de corações</p>
<ul>
<li>Prata 925</li>
<li>Cada coração tem 15mm</li>
<li><em>Pingente com 3 corações, caso queira colocar mais chamar no suporte.</em></li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-02-at-11.17.01.jpeg,"Pingente cascata de corações Prata 925 Cada coração tem 15mm Pingente com 3 corações, caso queira colocar mais chamar no suporte."
colar-mama,Colar Mama,"<p>Colar Mama</p>
<ul>
<li>Prata 925</li>
<li>Corrente 45cm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-02-at-11.16.48.jpeg,Colar Mama Prata 925 Corrente 45cm
pingente-dados-nascimento,Pingente Dados Nascimento,"<p>Pingente Dados Nascimento</p>
<ul>
<li>Prata 925</li>
<li>Medalha 18mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-02-at-11.16.58.jpeg,Pingente Dados Nascimento Prata 925 Medalha 18mm
colar-data,Colar Data,"<p>Colar Data</p>
<ul>
<li>Prata 925</li>
<li>Corrente 45cm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-03-at-00.13.35.jpeg,Colar Data Prata 925 Corrente 45cm
pingente-nome-coracao-pezinho,Pingente nome + coração + pézinho,"<p>Pingente nome + coração + pézinho</p>
<ul>
<li>Medalha 16mm</li>
<li>Prata 925</li>
<li>Coração e Pézinho vazados</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-02-at-11.16.47.jpeg,Pingente nome + coração + pézinho Medalha 16mm Prata 925 Coração e Pézinho vazados
medalha-amor-infinito,Medalha Amor Infinito,"<ul>
<li>Prata 925</li>
<li>Medalha 18mm</li>
<li><em>Pode personalizar com quantos filhos quiser, lembrando que, quanto maior a quantidade, menor os desenhos e nomes, o tamanho da medalha não muda.</em></li>
</ul>
<p>&nbsp;</p>
",https://useupvix.com.br/wp-content/uploads/2026/04/WhatsApp-Image-2026-04-02-at-11.16.46.jpeg,"Prata 925 Medalha 18mm Pode personalizar com quantos filhos quiser, lembrando que, quanto maior a quantidade, menor os desenhos e nomes, o tamanho da medalha não muda. &nbsp;"
escapulario-personalizado-com-recortes-laterais-foto-frase,Escapulário Personalizado com Recortes Laterais &#8211; Foto + Frase,"<p><strong>Escapulário Personalizado com Recortes Laterais &#8211; Foto + Frase</strong></p>
<p><em>Descrição do produto:</em></p>
<ul>
<li>Prata 925</li>
<li>Corrente Veneziana &#8211; 60cm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/01/2.png,Escapulário Personalizado com Recortes Laterais &#8211; Foto + Frase Descrição do produto: Prata 925 Corrente Veneziana &#8211; 60cm
pingente-amor-em-4-patas,Pingente Amor em 4 Patas,"<p data-start=""166"" data-end=""198"">Amor · Presença · Companheirismo</p>
<p data-start=""200"" data-end=""326"">Amor em 4 Patas representa o vínculo silencioso e constante entre humano e pet — aquele amor que caminha junto, todos os dias.</p>
<p data-start=""328"" data-end=""583"">A peça combina <strong data-start=""343"" data-end=""366"">patinha em destaque</strong>, com preenchimento em preto, e <strong data-start=""398"" data-end=""421"">coração em contorno</strong>, que aparece de forma sutil, sem protagonismo. O desenho valoriza a presença do pet e o afeto que se constrói na convivência, sem excessos ou linguagem infantil.</p>
<p data-start=""585"" data-end=""760"">Com traços arredondados e suaves, o design transmite cuidado, movimento e proximidade. É uma joia pensada para o uso diário, carregando significado sem precisar ser explicada.</p>
<p data-start=""762"" data-end=""814"">Um símbolo simples de um amor que não pede palavras.</p>
<hr data-start=""816"" data-end=""819"" />
<p data-start=""821"" data-end=""1046""><strong data-start=""821"" data-end=""844"">Detalhes do produto</strong><br data-start=""844"" data-end=""847"" />• Prata 925<br data-start=""858"" data-end=""861"" />• Design autoral USEUP!<br data-start=""884"" data-end=""887"" />• Patinha com preenchimento preto<br data-start=""920"" data-end=""923"" />• Coração em contorno, sem relevo<br data-start=""956"" data-end=""959"" />• Pingente corte a laser<br data-start=""997"" data-end=""1000"" />• Tamanho &#8211; 16mm</p>
",https://useupvix.com.br/wp-content/uploads/2026/01/colar-amor-em-4-patas-peca.png,"Amor · Presença · Companheirismo Amor em 4 Patas representa o vínculo silencioso e constante entre humano e pet — aquele amor que caminha junto, todos os dias. A peça combina patinha em destaque , com preenchimento em preto, e coração em contorno , que aparece de forma sutil, sem protagonismo. O desenho valoriza a presença do pet e o afeto que se constrói na convivência, sem excessos ou linguagem infantil. Com traços arredondados e suaves, o design transmite cuidado, movimento e proximidade. É uma joia pensada para o uso diário, carregando significado sem precisar ser explicada. Um símbolo simples de um amor que não pede palavras. Detalhes do produto • Prata 925 • Design autoral USEUP! • Patinha com preenchimento preto • Coração em contorno, sem relevo • Pingente corte a laser • Tamanho &#8211; 16mm"
pingente-patinha,Pingente Patinha,"<p data-start=""130"" data-end=""159"">Afeto · Presença · Identidade</p>
<p data-start=""161"" data-end=""262"">O Pingente Patinha USEUP! representa o vínculo com o pet de forma <strong data-start=""227"" data-end=""261"">discreta, elegante e atemporal</strong>.</p>
<p data-start=""264"" data-end=""462"">A patinha foi desenhada com <strong data-start=""292"" data-end=""313"">linguagem autoral</strong>, fugindo do óbvio e do efeito “carimbo”. As almofadas ganham formas mais geométricas e estilizadas, criando uma leitura contemporânea e sofisticada.</p>
<p data-start=""464"" data-end=""722"">O <strong data-start=""466"" data-end=""492"">preenchimento em preto</strong> valoriza o desenho, cria contraste e reforça o significado emocional da peça, sem infantilizar. É um símbolo afetivo pensado para o uso diário — para quem quer carregar seu pet como parte de quem é, não como tendência passageira.</p>
<p data-start=""724"" data-end=""786"">Uma joia simples, com identidade e sentimento na medida certa.</p>
<hr data-start=""788"" data-end=""791"" />
<p data-start=""793"" data-end=""1014""><strong data-start=""793"" data-end=""816"">Detalhes do produto</strong><br data-start=""816"" data-end=""819"" />• Prata 925<br data-start=""830"" data-end=""833"" />• Design autoral USEUP!<br data-start=""856"" data-end=""859"" />• Patinha geométrica com preenchimento preto<br data-start=""903"" data-end=""906"" />• Pingente chapado<br data-start=""936"" data-end=""939"" />• Pingente corte a laser<br data-start=""965"" data-end=""968"" />• Tamanho: 15mm</p>
",https://useupvix.com.br/wp-content/uploads/2026/01/colar-patinha-peca.png,"Afeto · Presença · Identidade O Pingente Patinha USEUP! representa o vínculo com o pet de forma discreta, elegante e atemporal . A patinha foi desenhada com linguagem autoral , fugindo do óbvio e do efeito “carimbo”. As almofadas ganham formas mais geométricas e estilizadas, criando uma leitura contemporânea e sofisticada. O preenchimento em preto valoriza o desenho, cria contraste e reforça o significado emocional da peça, sem infantilizar. É um símbolo afetivo pensado para o uso diário — para quem quer carregar seu pet como parte de quem é, não como tendência passageira. Uma joia simples, com identidade e sentimento na medida certa. Detalhes do produto • Prata 925 • Design autoral USEUP! • Patinha geométrica com preenchimento preto • Pingente chapado • Pingente corte a laser • Tamanho: 15mm"
escapulario-personalizado-data-foto,Escapulário Personalizado &#8211; Data + Foto,"<p>Descrição do produto:</p>
<ul>
<li>Prata 925</li>
<li>Corrente Veneziana</li>
<li>Tamanho das plaquinhas: 10mm x 13mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/01/escapulario-foto-2-refeito.png,Descrição do produto: Prata 925 Corrente Veneziana Tamanho das plaquinhas: 10mm x 13mm
escapulario-sol-mar-sal-verao,Escapulário Sol · Mar · Sal,"<p data-start=""160"" data-end=""189"">Presente · Frescor · Descanso</p>
<p data-start=""191"" data-end=""298"">O Escapulário Sal · Mar · Sol representa o <strong data-start=""234"" data-end=""259"">verão vivido no corpo</strong> — não como destino, mas como sensação.</p>
<p data-start=""300"" data-end=""513"">O <strong data-start=""302"" data-end=""309"">Mar</strong> aparece como movimento e fluidez, trazendo pausa e respiro.<br data-start=""369"" data-end=""372"" />O <strong data-start=""374"" data-end=""381"">Sal</strong> surge de forma sutil, quase secreta, como textura e detalhe.<br data-start=""442"" data-end=""445"" />O <strong data-start=""447"" data-end=""454"">Sol</strong> traduz energia, vitalidade e calor, presente sem excessos.</p>
<p data-start=""515"" data-end=""634"">Não fala de lugares turísticos, mas de estados internos:<br data-start=""571"" data-end=""574"" />descanso, alegria simples, tempo desacelerado, corpo em paz.</p>
<p data-start=""636"" data-end=""800"">Com design autoral, chapado e equilibrado, a peça foi pensada para acompanhar o cotidiano como um <strong data-start=""734"" data-end=""755"">refúgio sensorial</strong> — um lembrete de leveza mesmo fora do verão.</p>
<p>&#8211; Uma releitura do antigo escapulário SOL, MAR SAL.</p>
<hr data-start=""802"" data-end=""805"" />
<p data-start=""807"" data-end=""977""><strong data-start=""807"" data-end=""830"">Detalhes do produto</strong><br data-start=""830"" data-end=""833"" />• Prata 925<br data-start=""844"" data-end=""847"" />• Design autoral USEUP!<br data-start=""870"" data-end=""873"" />• Corrente Veneziana <br data-start=""916"" data-end=""919"" />• Peça de corte a laser</p>
",https://useupvix.com.br/wp-content/uploads/2026/01/mar-sal-sol-peca.png,"Presente · Frescor · Descanso O Escapulário Sal · Mar · Sol representa o verão vivido no corpo — não como destino, mas como sensação. O Mar aparece como movimento e fluidez, trazendo pausa e respiro. O Sal surge de forma sutil, quase secreta, como textura e detalhe. O Sol traduz energia, vitalidade e calor, presente sem excessos. Não fala de lugares turísticos, mas de estados internos: descanso, alegria simples, tempo desacelerado, corpo em paz. Com design autoral, chapado e equilibrado, a peça foi pensada para acompanhar o cotidiano como um refúgio sensorial — um lembrete de leveza mesmo fora do verão. &#8211; Uma releitura do antigo escapulário SOL, MAR SAL. Detalhes do produto • Prata 925 • Design autoral USEUP! • Corrente Veneziana • Peça de corte a laser"
pingente-por-do-sol,Pingente Pôr do Sol,"<p data-start=""114"" data-end=""135"">Fim · Pausa · Memória</p>
<p data-start=""137"" data-end=""325"">Pôr do Sol representa o <strong data-start=""161"" data-end=""212"">encerramento de um ciclo vivido com intensidade</strong>. Inspirado no momento em que a luz se despede e o dia desacelera, a peça traduz calma, completude e saudade boa.</p>
<p data-start=""327"" data-end=""476"">O design circular reforça a ideia de conclusão, enquanto o contraste em preto surge de forma sutil, sugerindo sombra e silêncio — nunca protagonismo.</p>
<p data-start=""478"" data-end=""555"">Uma joia pensada para guardar o que foi vivido e seguir em frente com leveza.</p>
<hr data-start=""557"" data-end=""560"" />
<p data-start=""562"" data-end=""721""><strong data-start=""562"" data-end=""585"">Detalhes do produto</strong><br data-start=""585"" data-end=""588"" />• Prata 925<br data-start=""599"" data-end=""602"" />• Design autoral USEUP!<br data-start=""625"" data-end=""628"" />• Tamanho: 16mm<br data-start=""672"" data-end=""675"" />• Pingente corte a laser</p>
",https://useupvix.com.br/wp-content/uploads/2026/01/por-do-sol-peca.png,"Fim · Pausa · Memória Pôr do Sol representa o encerramento de um ciclo vivido com intensidade . Inspirado no momento em que a luz se despede e o dia desacelera, a peça traduz calma, completude e saudade boa. O design circular reforça a ideia de conclusão, enquanto o contraste em preto surge de forma sutil, sugerindo sombra e silêncio — nunca protagonismo. Uma joia pensada para guardar o que foi vivido e seguir em frente com leveza. Detalhes do produto • Prata 925 • Design autoral USEUP! • Tamanho: 16mm • Pingente corte a laser"
pingentes-km,Pingentes Km,"<p data-start=""508"" data-end=""710"">Cada Pingente carrega a marca da distância conquistada, acompanhada pelo <strong data-start=""581"" data-end=""612"">sistema de diamantes pretos</strong>, assinatura visual da coleção. Eles não representam vitória imediata, mas <strong data-start=""687"" data-end=""709"">caminho percorrido</strong>.</p>
<p data-start=""712"" data-end=""852"">O design é limpo, minimalista e atemporal, pensado para acompanhar o dia a dia como lembrança pessoal de esforço, superação e pertencimento.</p>
<p data-start=""854"" data-end=""904"">Não grita.<br data-start=""864"" data-end=""867"" />Não explica.<br data-start=""879"" data-end=""882"" />Apenas guarda memória.</p>
<hr data-start=""906"" data-end=""909"" />
<p data-start=""911"" data-end=""1184""><strong data-start=""911"" data-end=""934"">Detalhes do produto</strong><br data-start=""934"" data-end=""937"" />• Prata 925<br data-start=""948"" data-end=""951"" />• Design autoral USEUP!<br data-start=""974"" data-end=""977"" />• Tamanho: 15mm<br data-start=""1013"" data-end=""1016"" />• Distância marcada no pingente (5KM, 10KM, 21KM ou 42KM)<br data-start=""1073"" data-end=""1076"" />• Sistema de diamantes pretos conforme a distância<br />
• Pingente corte a laser</p>
",https://useupvix.com.br/wp-content/uploads/2026/01/colares-juntos.png,"Cada Pingente carrega a marca da distância conquistada, acompanhada pelo sistema de diamantes pretos , assinatura visual da coleção. Eles não representam vitória imediata, mas caminho percorrido . O design é limpo, minimalista e atemporal, pensado para acompanhar o dia a dia como lembrança pessoal de esforço, superação e pertencimento. Não grita. Não explica. Apenas guarda memória. Detalhes do produto • Prata 925 • Design autoral USEUP! • Tamanho: 15mm • Distância marcada no pingente (5KM, 10KM, 21KM ou 42KM) • Sistema de diamantes pretos conforme a distância • Pingente corte a laser"
